X,Y,FID,Bundesland,Name,Baujahr,Gesamtleistung__MW_,Anzahl,Typ__WKA_,Ort,Landkreis,Breitengrad,Längengrad,Projektierer___Betreiber,Bemerkungen
13.138611111,54.344444444,101,Mecklenburg-Vorpommern,Windpark Altefähr,1995,,,Nordtank NTK 500/37(1×),,,54.3444444444445,13.1386111111111,,
13.242833333,54.341111111,102,Mecklenburg-Vorpommern,Windkraftanlagen Götemitz,1994,"1,0",1,Vestas V39-500kW(2×),Götemitz,VR,54.3411111111111,13.2428333333333,WIDEMAG,
10.9877777780001,54.340833333,103,Schleswig-Holstein,Windpark Neuratjensdorf,1999,"22,75",10,REpower MM82(1×),Neuratjensdorf,OH,54.3408333333333,10.9877777777778,WP Neuratjensdorf Rossee,Repowering2014 (9×Enercon E-70statt 8×Vestas V47-660kWund 3×Enercon E-66/15.66)
10.9877777780001,54.340833333,104,Schleswig-Holstein,Windpark Neuratjensdorf,2007,,,Enercon E-70(9×),,,54.3408333333333,10.9877777777778,,
10.9877777780001,54.340833333,105,Schleswig-Holstein,Windpark Neuratjensdorf,2014,,,,,,54.3408333333333,10.9877777777778,,
11.0511111110001,54.338611111,106,Schleswig-Holstein,Windkraftanlagen Sütel,1991,"0,8",2,Vestas V25-200kW(1×),Sütel,OH,54.3386111111111,11.0511111111111,,
11.0511111110001,54.338611111,107,Schleswig-Holstein,Windkraftanlagen Sütel,1996,,,Vestas V44-600kW(1×),,,54.3386111111111,11.0511111111111,,
13.2846111110001,54.3375,108,Mecklenburg-Vorpommern,Windpark Samtens,1999,"2,4",4,AN Bonus 600/44 (4×),Frankenthal,VR,54.3375,13.2846111111111,,
11.01,54.336388889,109,Schleswig-Holstein,Windpark Löhrstorf,1999,"8,55",4,Vestas V66-1.65MW(1×),Löhrstorf,OH,54.3363888888889,11.01,,Repowering2012 (9×Enercon E-70statt 1×Vestas V66-1.65MW)
11.01,54.336388889,110,Schleswig-Holstein,Windpark Löhrstorf,2007,,,Enercon E-70(3×),,,54.3363888888889,11.01,,
11.01,54.336388889,111,Schleswig-Holstein,Windpark Löhrstorf,2012,,,,,,54.3363888888889,11.01,,
10.8745277780001,54.331111111,112,Schleswig-Holstein,Windkraftanlage Wandelwitz,1996,"0,5",1,Enercon E-40/5.40(1×),Wandelwitz,OH,54.3311111111111,10.8745277777778,,
10.966666667,54.326944444,113,Schleswig-Holstein,Windpark Bollbrügge,2000,"16,7",7,AN Bonus 1300/62 (6×),Bollbrügge,OH,54.3269444444445,10.9666666666667,,
